[run number],energia_inicial,lixo_normal,nAssassinos,energ_alimento,alimento,limiteResiduos,nComiloes,assassinos?,lixo_toxico,mostrarCargaDeposito?,nLimpadores,mostra_energia?,n_depositos,mostra_carga?,[step],count turtles
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,183,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,184,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,185,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,186,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,187,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,188,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,189,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,190,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,191,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,192,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,193,29
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,194,29
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,195,29
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,196,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,197,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,198,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,199,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,200,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,201,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,202,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,203,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,204,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,205,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,206,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,207,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,208,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,209,28
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,210,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,211,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,212,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,213,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,214,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,215,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,216,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,217,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,218,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,219,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,220,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,221,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,222,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,223,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,224,27
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,225,27
