[run number],energia_inicial,lixo_normal,nAssassinos,energ_alimento,alimento,limiteResiduos,nComiloes,assassinos?,lixo_toxico,mostrarCargaDeposito?,nLimpadores,mostra_energia?,n_depositos,mostra_carga?,[step],count turtles
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,116,23
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,117,23
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,118,23
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,119,23
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,120,23
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,121,22
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,122,22
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,123,22
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,124,21
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,125,21
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,126,21
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,127,21
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,128,21
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,129,19
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,130,18
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,131,18
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,132,18
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,133,17
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,134,17
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,135,17
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,136,16
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,137,16
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,138,16
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,139,16
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,140,16
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,141,15
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,142,15
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,143,15
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,144,15
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,145,15
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,146,14
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,147,13
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,148,13
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,149,13
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,150,13
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,151,13
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,152,13
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,153,12
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,154,11
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,155,11
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,156,11
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,157,11
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,158,10
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,159,10
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,160,9
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,161,9
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,162,9
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,163,9
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,164,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,165,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,166,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,167,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,168,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,169,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,170,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,171,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,172,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,173,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,174,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,175,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,176,8
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,177,7
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,178,7
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,179,7
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,180,7
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,181,7
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,182,7
